title,release_date,overview,tagline,genres,keywords
Art in the Public Eye: The Making of Dark Star Park,1988-01-01,"This piece documents the process behind the creation of Holt's major public art installation, Dark Star Park, in Arlington, Virginia. The park, which features giant concrete spheres and pipes, allows the visitor to reconsider the experience of space, earth and sky within an urban context. It also serves as a kind of contemporary Stonehenge: once a year, on August 1 at 9:30 am, the shadows of the objects exactly align with outlines on the ground. Interviews with the artist, the architects, engineers, contractors, and the public, among others, reveal Dark Star Park as both a public sculpture and a functioning park that reclaims a blighted urban environment.",,Documentary,
Hermit,2022-07-09,"In a dystopian future, Mother Nature guards the last of Earth’s flora deep underwater. When the last of humanity – a hermit building a shelter – makes a discovery, greed takes over.",,,
In the Time of Rebellion,1908-08-31,"In a British barrack in India is confined a tamed gorilla which has conceived a hatred for one of the Hindoo attendants, owing to the barbarous treatment which the Hindoo accords the beast. This attendant proves to be a traitor to the British interests, and avails himself of his opportunities to possess himself of military papers and secrets which he carries to his friends in the rebel camp. (Moving Picture World)",,Drama,"gorilla, silent film, colonialism"
Stop!,1970-05-16,A married couple takes an extended holiday in Puerto Rico where their resentment and marital dysfunction begin to boil over. They meet an attractive couple who they invite over for dinner and soon start to learn about love and romance from their new friends. But it may be too late to save their marriage.,,Drama,"infidelity, marriage crisis, holiday, married couple, sexual experimentation"
AFI Life Achievement Award: A Tribute to Julie Andrews,,"A legendary actress of both stage and screen, Julie Andrews has enchanted and delighted audiences around the world with her uplifting and inspiring body of work. She continues to captivate viewers in front of the camera, with her remarkable wit, characteristic grace and an incandescent and unmistakable voice all of her own — while also shining a light on humanitarian issues in her activism and philanthropic work.",,,
Idaho: An Aerial Tapestry,2009-01-01,"An aerial celebration of mountains, rivers, deserts and lakes. One could spend a lifetime searching for a single image that is Idaho, only to realize that the allure of this place lies precisely in its dazzling diversity of altitudes and attitudes. Soar above our state with this spectacular tour of Idaho. Original music by Idahoans.",,Documentary,"idaho, nature, aerial photography"
Pinto Rustlers,1936-05-14,"Tom Evans is a young cowboy orphaned by a band of rustlers. Seeking revenge, Tom pretends to be a notorious ex-con and manages to worm his way into the gang in order to get the goods on the bunch.",Rousing ACTION!,Western,
Source ID,,"One Day, Jack & His Wife & His Children will be going to an All-Inclusive Resort",Next Up,,
Mis-alignment,,"Roberta Statero is a burnt-out engineer in charge of the humane destruction of misaligned androids. When she encounters Ved-A, an android with a severe case of misalignment that includes self-harming, Roberta’s routine is disrupted.",,,
Night & Day,2021-11-12,A tender look at three generations of motherhood and music in a bittersweet recollection of filmmaker Paolo Bitanga’s last Christmas with his grandmother.,,Documentary,
Terlambat,2018-12-15,"Damira and her mom didn't had any good relationship. Once there were had an angry argument. Then after, her mom tries to fix their relationship. Their relationship gets better. However, her father were sad about this.",,,
Travelling Mercies,2024-08-01,"Two Black high school students have different attitudes about the daily micro aggressions they experience in an ultra wealthy neighborhood of Houston, TX. When one of them encounters a shocking outburst at their private prep school, they’re both forced to reexamine their viewpoints.",,,
The Sheep from the Future,,"An interdisciplinary research project on the work and life of pastoralists in Mt. Lebanon in the context of climate change, land-use conflict, and economic crisis.",,,
insomnia,2023-10-16,"a doll finds herself dealing with loss, betrayal, anger and confusion after she finds herself abandoned abruptly by her creator and a stranger takes over her home",,Horror,"killer doll, old dark house, female stalker, haunted doll, mexican horror"
WCW The Great American Bash 1999,1999-06-13,"Kevin Nash defends the WCW World Heavyweight Championship against ""Macho Man"" Randy Savage. Rick Steiner faces Sting in a Falls Count Anywhere Match. Ric Flair battles ""Rowdy"" Roddy Piper for control of WCW. The No Limit Soldiers face The West Texas Rednecks and much more!",The real fireworks start June 13th!,Action,wrestler
Girl and Boy on the Rocks!,,"At a party teeming with young artists and bon vivants, the everyday, and yet the extraordinary, is happening. On their quest to experience love and life, they talk carelessly, risking everything, and dance on in the neon lights of the night.",,,
The Good Spook,2019-10-31,"On Halloween night, our little ghost has a very important task, to greet with a good spook to all trick-or-treaters!",,Animation,
Emergency Contact,,A young woman is dropped off at a carpool lot after she is released from a short stay in prison. She comes to an unexpected realization as she tries to seek refuge.,,,
The Horrors of Going to the Park,2024-10-13,"A mother is hiking with her child, when she realizes he disappeared. Meanwhile, a fight breaks out between two devious warriors.",Maybe the park is actually evil...,"Horror, Comedy, Action","hospital, explosion, warrior, complex, sad"
Out of Control,2009-03-11,"Against her father's wishes, a young female cop in Chicago pursues her dream of becoming a detective when she's brought on to investigate a major murder case.",Trust no one.,"TV Movie, Crime, Mystery, Thriller",
The Feds,2019-09-01,Two FBI Agents go through the troubles of working together on a case to take down a smuggler that possess technology that has never been seen before.,Two FBI Agents deal with the troubles of working together to stop a smuggler that possesses advanced technology.,"Drama, Crime, Science Fiction",
"Un sat basarabean, Cornova",1932-03-11,Sociological documentary presenting a village in Romania in the 1930s.,,Documentary,
On the Pipe 3 - Another hit,2006-02-19,"Powerband picks up where we left off and brings you the most technical freeride movie in the world. Once again Ryan Capes attempts to break every record known to man as he attempts to break the ramp to ramp record at the Evel Knievel days in Butte Montana. Follow Trigger Gum to Oklahoma for the worst crash of the year as he attempts to break Ryans distance record. Visit England for the MX Nations race as team USA takes on the world and 10 time world champion Stefan Everts races his last moto. Watch Twitch break the backflip distance world record at 155 feet at Fitzpatricks ranch. Pastrana pulls off a perfect double backflip. Join the top natural terrain specialists in Glamis for the 3rd annual Red Bull Ride to the Hills. Riders include: RickyCarmichael, Dustin Miller, Mike Mason, Mike Metzger, Ronnie Renner, Jeremy Carter, Josh Grant and many more.",,,
The FIRM: Flat Abs Solution - Cardio To The Core,,"Get rock hard abs and a tight, lean body with five brand new core workouts from The FIRM Master Instructor Rebekah Sturkie. Blend cardio, sculpting, and spot work for faster, flatter results! Mix and match all five routines and get ready to flaunt a strong, lean core in no time.  Recommended Equipment: Dumbbells (optional)",,,
Still a Teen Movie,2009-12-12,"It's the summer after high school graduation, and four buddies from an upscale Queens, New York neighborhood hatch a plan to meet the hot ladies from their favorite videos. All it will take is a kidnapping, a phony video set and a few lies. What could possibly go wrong? Almost everything, as they quickly discover. Jason Hurt, Tyler Ham Pong, Rich Child and Dan Shaked star, along with several real-life video hotties.",,,
Hot Goy Summer,2019-01-01,"This is an ironic, voyeuristic, sensual and trans-re-vision of that meme and the concept of performativity.  Hot Girl Summer was one of the most popular memes of Summer 2019. That Summer I was in Lesbos on an island with a group of creative queer women having a very cliche week of workshops and pilgrimage to our goddess Sappho.",,,
WHY ARE WE GETTING SO FAT?,2016-06-07,A Cambridge geneticist dispels misconceptions about living with obesity and explores why the epidemic continues to expand across the UK and America.,THE MODERN DAY EPIDEMIC: OBESITY,"Documentary, TV Movie","lifestyle, diet, health, obesity, childhood obesity"
The Girl Grabbers,1968-07-10,Two hooligans run amok.,,,
Almost Home,2016-02-27,An American Marine returns home to his dying father bringing not only the hope to mend their broken relationship but his memories of the war.,,"Drama, Family, War","family, short film"
Forsaking All Others,1922-12-10,"Jealous of her son Oliver's interest in Penelope Mason, Mrs. Newell takes him to a resort where he is easy prey for designing Enid Morton. After some near-disastrous situations with Enid's suspicious husband, Penelope comes to Oliver's rescue at Mrs. Newell's request.",,Drama,vamp
Usher: BBC Radio 1 Live Lounge,2016-09-02,"BBC Radio 1's Live Lounge exclusive show. Usher brings his killer vocals to the Live Lounge in LA and performs five tracks including 'Climax', 'Crash', a reggae version of 'Love in This Club', an amazing cover of The Chainsmokers’ ‘Don’t Let Me Down’, and 'U Got It Bad'.",,Music,
Kill!,1971-12-10,Interpol investigates the freelance killings of drug and porn peddlers.,,"Crime, Action, Thriller","heroin, murder, drug syndicate"
Ritzy Hotel,1932-05-09,Krazy Kat encounters many wild events as a bellboy in a large hotel.,,Animation,
Connected,2008-09-25,"A debt collector receives a call from a woman who is kidnapped by an unknown gang. He thinks it is a joke but soon, he realises that it is not a prank.",,"Thriller, Action","fight, kidnapping, hostage, remake, police corruption, police detective, witness to a crime, distress signal"
Sally's Escape from Hell,2016-12-04,A Texas Chainsaw Massacre fan film.,Meat the Sawyers One Last Time,Horror,texas chainsaw massacre
I Love Cops,2008-11-16,I Love Cops is a social commentary about modern society. There are no actors in this movie. Everything is real.,,Documentary,shocking
Jackass Volume Two,2004-01-01,"Due to some random haggard circumstances, Volume 1 of the Jackass TV series isn't coming out anytime soon. But in the meantime here's Volume 2. Volume two of the Jackass series contains a random, haggard selection of segments and bits that aired on our crappy little television show. Remarkable moments in this half-ass collection include Chris Pontius masquerading as an American werewolf and creating panic in the streets of London, Johnny Knoxville sticking his arm right up a cow's butt, Bam Margera and Brandon Dicamillo taking the hockey gloves off and brawling in the middle of a café, Ehren McGhehey falling flat on his pink face while skateboarding blindfolded, and a bunch of other absurd stunts, pranks and queer misbehavior from our bumbling cat and crew of idiots.",,Comedy,
How to Film a Sigh,,"A short poem about the nostalgic and melancholic side of growing up. Shot on Super 8 in Queens, New York.",,Documentary,short film
Грънци,,,,,
Madeline,2018-12-14,A video portrait of Madeline.,,,
A Crack in the Universe,2022-10-11,"For the last several decades, Hope Center for the Arts has been cultivating a niche corner of Anaheim's musical and visual arts scene by giving the city's intellectually disabled community a place to express themselves through the arts.",,Documentary,
Hindi Kita Malimot,1982-07-16,"Celia, a daughter of a housekeeper of the Regattas, finds an unknown man- Edwin - in one of their huts. As she helps the man, the two grew close to each other and fell in love. However, they must first solve their problems: Celia must obtain her father's properties while Edwin must clear his name's bad reputation.","Once apart, together once more...","Drama, Romance",
Birth of the Tramp,2013-12-29,"A look back at Charlie Chaplin's early life and career, from his rough childhood and music hall success in England to his early Hollywood days and the development of his enormously popular character, the Little Tramp, also called Charlot.",,"Documentary, TV Movie","london, england, movie business, hollywood, music hall, little tramp, silent film star, rise to fame, 1910s, cinema history, life in the slums, portrait of a filmmaker, the tramp, charlot"
Leila Shahid: Palestine Forever,2009-01-01,"It is the first time that Leïla Shahid has agreed to a portrait. At a time when news images blind us and fuel debate, this film takes a step back and looks at the history of a land torn apart, through the personal story of a unique ambassador. Hope and peace are still the key words of the woman who has, for over 30 years, pleaded the cause of the Palestinian people in Europe.",,,
My Café Sportster RIP 2014,,This bike almost killed me.,,,
Roland,2017-11-04,"The yellow house, resurgent image of the past, has opened a breach to an untold family story. This movie is a discreet investigation about the death of an uncle that I never knew. This story is unraveled by words, which were never spoken. It is an ascertainment of a disappearance amidst a snowy forest which seems to regenerate itself despite of the memory.",,Documentary,
Obama: All Access: The Road to the White House,2009-01-01,"Obama: All Access offers a unique, behind-the-scenes look at the life and career of President Barack Obama.",,Documentary,"political, documentary, barack obama"
Kathy Smith New Yoga - Advanced,1995-04-01,Advanced Yoga Workout,,,
Prosper,2014-03-03,"The rumored daughter of Sarah Good, the first witch to be tried and hung during the Salem Witch trials, lives and commands the spirit world at her fingertips. Irene, as she is known, must sacrifice the lives of a small group of youths every 30 years for preserving her own youthful appearance, powers and prosperity. On this day, Irene sets the bait for Dalton, an unassuming young man looking for closure in his brother's accidental death. She promises Dalton the allure of reconnecting with his deceased sibling while suggesting he bring his friends along for the show. Sam, Dalton's closest friend, ignores the warning signs, tags along for the ride and finds herself the only person left alive after a night of gruesome events.",Will you prosper?,"Horror, Thriller",
It's Grime Up North,2011-12-18,"Charlie Sloth has been on a road trip to find the hottest rappers up North and try to understand why rap music in the U.K is dominated by the London scene. He's travelled from Newcastle to Liverpool, Manchester to Sheffield, Huddersfield to Leeds; spent time in boxing gyms with aspiring MCs, and met feared battle-rappers working the night-shift in Morrisons. Featuring Shotty Horroh, Bang On, Tez Kidd, Hoodman, The Projekt and Sermstyle.",,Documentary,rap music
Being is negative,,"The animated shortfilm 唯幻 WEI HUAN (Being is negative) attempts to convey the Buddhist world view. Buddhism is not spiritualism as many people commonly understand it. Rather, Buddhism emphasizes illusion. All things that can be perceived and thought in the world are illusions, and only one's own nature is the true noumenon.",,,
Hard Quiz Celebrity Special,2019-12-18,"In this special, Tom Gleeson gets his chance to be mean to four celebrities - Hamish Blake, Celia Pacquola, Waleed Alys and Lucy Durack - who are fighting for the Big Brass Mug.",,Comedy,
Dream Time,,"Alice and Albie meet when they show up at the same location with the same intention, to end their respective lives. Having ruined each other's big exit, they begin to open up to one another, and in doing so they start to shed new light on their seemingly hopeless life circumstances.",,,
Smiles,1964-01-01,A short film by John G. Avildsen.,,Drama,"new york city, subway, short film"
Colonel Heeza Liar Foils the Enemy,1915-07-31,"Despite the bombs which he suffers from at the war front, war correspondent, Col. Heeza Liar succeeds to foil the enemy lines.",,"War, Animation, Comedy","war propaganda, silent film"
Laserpope,2016-10-14,Trailer for a fake movie.,,"Action, Comedy, Science Fiction",
The Golden Head,1964-08-22,"Stevenson, the famous English criminal expert visits Hungary with his family. While he is chairing a conference on criminology, infamous art treasure robbers steal the golden herm of Saint László. Suspicion is cast on the Stevenson children.",,"Comedy, Mystery",
Hanna Ranch,2014-05-16,"Hanna Ranch is a feature documentary about visionary cattleman Kirk Hanna and his personal struggle to protect a once prominent way of life in Colorado. Born into a life on the family ranch, Hanna became a leader in the environmental ranching movement that set out to protect the West from the relentless encroachment of development and misuse.  Featured in the book Fast Food Nation and dubbed the “eco-cowboy,” he was an early adopter of Holistic Resource Management practices, sat on numerous environmental boards and was president of the Colorado Cattleman’s Association. Hanna’s opinion was so widely sought and respected, many even saw him as a future governor of Colorado. But when his dream of harmony and sustainability ran up against the reality of family conflict and mounting threats to the land, Hanna lost hope.  Kirk’s legacy and fight live on as his family and friends continue to protect the West by saving Hanna Ranch.",,Documentary,
Evaporation,2010-11-19,"It is not magic, but you can put all of your life in a glass of water.",,,
Bautista,2021-11-30,,,"Action, Comedy, Family, Music","fight, panda"
My Place,,Three generationally-divided rural women manage the challenges of working on the land amidst a continually changing agricultural industry.,,,
Hanafuda / Jasper Johns,1981-08-13,"""HANAFUDA observes the artist, Jasper Johns, and the master Japanese silkscreen printers at Simca Print Artists, as they created three different images from Johns USUYUKI and CICADA series. For me, the camera was a pretext for an in-depth apprenticeship.  The finished film recapitulates my process of learning, gleaned over time, as I observed Johns and the printers at work. What I wanted to know was how one generates a work of art and, for that matter, what is art, what work is involved, and how do ideas as opposed to physical labor drive the decision making process.  The films became a meditation on art and craft, as well as on the dialectic of mind and body, concept and actual work."" -Katy Martin.",,,
Taeyang: Solar Concert,2010-09-26,"Taeyang's (Big Bang) ""Solar"" concert DVD. Tae Yang followed the release of the Solar albums with his Solar concert tour, held on September 25 and 26, 2010 at the Grand Peace Palace at Kyung Hee University in Seoul. The Big Bang member gave his all for his second solo concert, performing hits like I'll Be There, I Need a Girl, Wedding Dress, and much more.",,,
Chuck Owen and the Jazz Surge Present The Making of Within Us The 25th Anniversary Album,2022-09-14,"In this Documentary, Chuck Owen and the Jazz Surge show the process of making the 25th Anniversary Album for Within Us at Starke Lake Studios in Ocoee Florida.",,"Documentary, Music",
You're Triflin,2007-01-01,"In an effort to earn more respect from their ladies, Keith (Juan Branch) and Tray (Walter Fauntleroy) try to get some quick cash by hosting a comedy show at the Viper Room -- and taking a big cut from the house -- but their plans get brought back to earth thanks to a local mobster. The sexy urban romantic comedy also features a hilarious cameo by Ghana-born comic Michael Blackson.",,,
UFO abduction : a true story,1991-03-01,An alien encounter and craft in North Charleston.,,Documentary,alien abduction
Rodamorfosis,1984-06-01,"""Shot in Madrid, in a carnival. The subject of the film is suggested by the spanish title. From ""roda"", I kept 2 connected meanings : the circular motion and movie shooting. As for ""Morfosis"", it is linked to the idea of metamorphosis. With the whole word, I wanted to suggest a metamorphosis of reality (places and characters) in a motion where everything is going round circles : what is on camera, camera itself and film inside.""",,,
Night in Newark,,"Night in Newark focuses on the insights of thirty students in Paris Murray's 7th grade classroom at Northstar Middle School. Their close reading of Elie Wiesel's classic Holocaust memoir explores the themes of freedom, memory and survival.",,Documentary,
Off Season,2014-05-27,"Época Baixa shows places left behind by tourists during the Off Season in Portugal. We still can sense the colourful days of summers past. The tourists have left their traces. Sometimes we can even hear them, like ghost voices, from the far distance.",,,
Cat in the Hat Knows a Lot About That!: Safari So Good,2013-02-05,"It's time for a safari, so come and explore with the Cat and his friends on adventures galore. We will reach for the treetops and swing through the trees, When we walk like giraffes and swing like monkeys! Join the Cat in the Hat on this brand new safari adventure! Help him find the missing stripes for his hat, swing with silly monkeys and discover how footprints are made!",,,
Wild Serbia,2011-01-01,"Serbia is located at the crossroads of Central and Southeast Europe, covering the southern part of the Pannonian Plain and the central Balkans. It is also one of Europe’s natural wonders, filled with a rich variety of landscapes and animals.To this day a large number of Serbian people live in close communion with nature, proud of the storks’ nests in the villages, the ancient species of livestock that have been preserved and the vultures that return to make their home here. In many places people are pleased to see bears, lynx and wolves, and even jackals are at home in the forests of Serbia. This documentary presents Serbia's breath-taking, picturesque regions and unique wildlife on a journey to the most beautiful and wildest areas of the Balkan Peninsula.",,Documentary,"human animal relationship, forest, serbia, nature"
Father’s Day,1975-06-06,A film by Leonard Lipton,,,
So Cold the River,2022-03-25,A documentary filmmaker's research on a town's mysterious benefactor unearths an unexplained evil while staying at a local resort.,Some pasts won't let go.,"Horror, Thriller",based on novel or book
Ohi Ho Bang Bang,1988-01-01,"Holger Hiller and Karl Bonnie create different sounds from every item in a room, from those sounds a song is made by means of cutting, where every sound is still in sync with the video footage of its creation.",,Music,
Crystal Nights of Lust,2017-06-26,A man falls in love with the transgender version of himself. A gender study through the myth of Narcissus.,,,
From the Hood to the Holler,2022-09-16,"Charles Booker rode to the brink of one of the biggest upsets in political history. The documentary follows his campaign across Kentucky from the most urban to the most rural settings. Booker and his team rewrite the campaign playbook. They lean into the charge that average Kentuckians have common bonds, a unifying day-to-day struggle. That struggle is color blind. Booker fights to represent Kentuckians that feel invisible. His message is simple whether you are from the city “Hood,” or the Appalachian “Holler,” you are not invisible.",,Documentary,
Jesus H. Zombie,2006-08-08,"The horrific fight to the death thriller keeps your knees on edge, with its grassy sense of humor and its lack of chicken feet. This movie portrays a man on a mission to defeat the beast in the ultimate sacrifice of his favorite chicken dinner.",Who Will Jesus Eat?,"Comedy, Horror, Science Fiction",zombie
The Hungry Squid,2002-02-10,"The Hungry Squid is 2002 animated short film by John Weldon, about a young girl whose homework and personal life is being disrupted by creatures, including a giant ravenous squid.[1] The film was animated using Weldon's personal style of do-it-yourself filmmaking, combining low-budget computer animation with puppets, photos and stop-motion animation in a technique he calls ""digital recyclomation."" The film's producer, Marcy Page, had coined the term ""recyclomation"" during production of Weldon's 1991 film, The Lump",,Animation,short film
春潮,,"Sojourning in Macau, Su Erning by chance helps Pan Meiniang resuscitate his younger brother and fends off the thug. In her admiration, Pan calls off the engagement arranged by her mother to exchange vows with Su despite having known him for only three days. To raise the money for the wedding, Su plans to sell his family yacht to the rich wife of his classmate Lu Zuhua in Hong Kong and promises to buy Pan a pearl necklace. The promiscuous Mrs Lu seduces Su on the yacht and then dumps him. 18 years later, Pan's daughter is getting married. Su prepares a wedding gift—a stolen pearl necklace—for the bride but is too ashamed to show himself.",,,"femme fatale, film noir, literary adaptation, film remake, feeble man"
SPRING FEVER,,"A story of Chinese New Year, the young man's happiness and sadness in the Chinese family.",,,
A Bear Affair,1915-04-28,"Keystone comedy mayhem with bears, chases and whatnot.",,,
The Seven Seas of Sage,,A queer short film about a bunch of idiots stranded on a beach in Singapore.,Retirement has never been this catastrophic.,,"mythology, mockumentary, southeast asia, queer cinema"
Burgis,1981-06-21,"After his expulsion from college Juni Locsin (Gabby Concepcion) is forced to continue studies at Eastern College Of The Republic, an ordinary university. This is a contrary environment to the young man accustomed to luxury.",,"Romance, Comedy, Drama",
La Ermitaña,,¿How can loneliness determine the way we observe and connect to the world around us?,,,
The Union Jacking Up,1985-01-01,"The Union Jacking Up is an ode to friends, including Trojan and Leigh Bowery who feature in the film among others, as well as a collage of news footage of 80s Britain.  The film’s haunting soundtrack is composed similarly to the video and 16mm footage that fades and dissolves on screen, often montaging two sources to create abstract combinations and juxtapositions. - ICA",,,
Power Behind the Nation,1947-10-11,Brief history of American industry.,,Documentary,
Dragon Force,1982-12-16,Government agent Jack Sargeant teams up with an international crime-fighting organization to rescue a kidnapped princess.,,Action,
Disney Princess Party: Vol. 1,2004-09-07,"You are cordially invited to the Disney Princess Party where happily ever afters can happen 365 days a year! Whether it's a party for one or 100, your little girl can play with all of her favorite Disney princesses anytime.",Celebrate Every Day Like A Princess,,
Experimental Animation,1933-01-01,"Len Lye scraped together enough funding and borrowed equipment to produce a two-minute short featuring his self-made monkey, singing and dancing to 'Peanut Vendor', a 1931 jazz hit for Red Nichols. The two foot high monkey had bolted, moveable joints and some 50 interchangeable mouths to convey the singing. To get the movements right, Lye filmed his new wife, Jane, a prize-winning rumba dancer.",,"Music, Animation","stop motion, short film"
Blue Moon Ball,2021-09-01,"Grace Montague, a writer on the verge of losing her book contract, returns to her hometown to finish her final novel and rediscover her muse. However, upon arriving home she finds her first love, Sean, desperate to save the town's historic ballroom, and needs her help writing the proposal before the night of the rare Blue Moon Ball.",,"Romance, TV Movie",
I Can Only Do So Much,2022-10-07,"Mental health issues are universal and more common than the taboo would have us believe. But since they are often rooted in trauma and discrimination, the relationships of marginalized, queer and trans folks are on average more often affected by them. The film is split in three intimate one-on-one talks of two trans people who are in a close relationship. The talks take place in three different locations and are framed by an imaginary opening and closing scene.",,,
G.I. Jive,1944-03-13,"Louis Jordan and his Tympany Five perform ""G.I. Jive""",,Music,
